timestamp,model_name,best_params,threshold,roc_auc,f1_score,precision,recall
2026-01-10 19:30:27,logit_lasso_v7,"{'classifier__C': 10, 'preprocessor__feature_creator__High_Income_Flag': True, 'preprocessor__feature_creator__Income_Loan_Ratio': False, 'preprocessor__feature_creator__Total_Income': True}",0.5201,0.7466,0.8691,0.783,0.9765
2026-01-10 20:48:13,sgd_logit_v1,"{'classifier__alpha': 0.0001, 'classifier__eta0': 0.1, 'classifier__learning_rate': 'adaptive', 'preprocessor__feature_creator__High_Income_Flag': True, 'preprocessor__feature_creator__Income_Loan_Ratio': False, 'preprocessor__feature_creator__Total_Income': True}",0.5222,0.7543,0.8691,0.783,0.9765
2026-01-10 21:51:28,sgd_svm_v1,"{'classifier__alpha': 0.0001, 'classifier__eta0': 0.01, 'classifier__learning_rate': 'adaptive', 'preprocessor__feature_creator__High_Income_Flag': True, 'preprocessor__feature_creator__Income_Loan_Ratio': True, 'preprocessor__feature_creator__Total_Income': True}",0.6799,0.7418,0.871,0.802,0.9529
2026-01-14 14:41:21,logit_poly_v1,"{'classifier__C': 10, 'poly__degree': 1, 'preprocessor__feature_creator__High_Income_Flag': True, 'preprocessor__feature_creator__Income_Loan_Ratio': False, 'preprocessor__feature_creator__Total_Income': True}",0.5201,0.7466,0.8691,0.783,0.9765
2026-01-14 14:42:52,logit_poly_v2,"{'classifier__C': 10, 'poly__degree': 1, 'preprocessor__feature_creator__High_Income_Flag': True, 'preprocessor__feature_creator__Income_Loan_Ratio': False, 'preprocessor__feature_creator__Total_Income': True}",0.5201,0.7466,0.8691,0.783,0.9765
2026-01-17 17:22:54,svm_rbf_v1,"{'classifier__C': 10, 'classifier__gamma': 0.1, 'preprocessor__feature_creator__High_Income_Flag': False, 'preprocessor__feature_creator__Income_Loan_Ratio': False, 'preprocessor__feature_creator__Total_Income': False}",0.6538,0.7325,0.8691,0.783,0.9765
2026-01-17 18:31:26,svm_poly_v1,"{'classifier__C': 0.1, 'classifier__coef0': 5, 'classifier__degree': 3, 'preprocessor__feature_creator__High_Income_Flag': False, 'preprocessor__feature_creator__Income_Loan_Ratio': False, 'preprocessor__feature_creator__Total_Income': False}",0.4123,0.7192,0.8691,0.783,0.9765
2026-01-17 18:32:35,svm_poly_v2,"{'classifier__C': 0.1, 'classifier__coef0': 5, 'classifier__degree': 3, 'preprocessor__feature_creator__High_Income_Flag': False, 'preprocessor__feature_creator__Income_Loan_Ratio': False, 'preprocessor__feature_creator__Total_Income': False}",0.4122,0.7192,0.8691,0.783,0.9765
2026-01-17 18:33:22,svm_poly_v3,"{'classifier__C': 0.1, 'classifier__coef0': 5, 'classifier__degree': 3, 'preprocessor__feature_creator__High_Income_Flag': False, 'preprocessor__feature_creator__Income_Loan_Ratio': False, 'preprocessor__feature_creator__Total_Income': False}",0.4129,0.7186,0.8691,0.783,0.9765
2026-01-17 18:34:07,svm_poly_v4,"{'classifier__C': 0.1, 'classifier__coef0': 5, 'classifier__degree': 3, 'preprocessor__feature_creator__High_Income_Flag': False, 'preprocessor__feature_creator__Income_Loan_Ratio': False, 'preprocessor__feature_creator__Total_Income': False}",0.4129,0.7186,0.8691,0.783,0.9765
2026-01-17 18:35:12,svm_poly_v5,"{'classifier__C': 0.1, 'classifier__coef0': 5, 'classifier__degree': 3, 'preprocessor__feature_creator__High_Income_Flag': False, 'preprocessor__feature_creator__Income_Loan_Ratio': False, 'preprocessor__feature_creator__Total_Income': False}",0.4129,0.7186,0.8691,0.783,0.9765
2026-01-23 19:11:31,decision_tree_v1,"{'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'preprocessor__feature_creator__High_Income_Flag': False, 'preprocessor__feature_creator__Income_Loan_Ratio': False, 'preprocessor__feature_creator__Total_Income': False}",0.7569,0.7269,0.8632,0.781,0.9647
2026-01-26 19:03:28,random_forest_v1,"{'classifier__class_weight': None, 'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 5, 'classifier__n_estimators': 200, 'preprocessor__feature_creator__High_Income_Flag': False, 'preprocessor__feature_creator__Income_Loan_Ratio': False, 'preprocessor__feature_creator__Total_Income': True}",0.4661,0.7218,0.8737,0.7905,0.9765
2026-01-26 19:36:00,extra_trees_v1,"{'classifier__bootstrap': False, 'classifier__class_weight': None, 'classifier__max_depth': 5, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 100, 'preprocessor__feature_creator__High_Income_Flag': False, 'preprocessor__feature_creator__Income_Loan_Ratio': False, 'preprocessor__feature_creator__Total_Income': False}",0.6189,0.7745,0.8691,0.783,0.9765
2026-01-26 20:45:29,adaboost_v1,"{'classifier__estimator__max_depth': 2, 'classifier__learning_rate': 0.1, 'classifier__n_estimators': 500, 'preprocessor__feature_creator__High_Income_Flag': False, 'preprocessor__feature_creator__Income_Loan_Ratio': False, 'preprocessor__feature_creator__Total_Income': False}",0.4062,0.7404,0.8691,0.783,0.9765
